epoch_no,start_date_utc,reserve_ada,rho_rate,eta_capped,tau_rate,d_decentralisation,transition_gate,monetary_expansion_nominal_ada,monetary_expansion_eta_adjusted_ada,monetary_expansion_pool_side_ada,is_current_partial_epoch
295,2021-10-07,11749349764.763643,0.003000,0.975972,0.200000,0.000000,1,35248049.294291,34401116.998748,27520893.598998,False
296,2021-10-12,11727557414.227650,0.003000,0.965231,0.200000,0.000000,1,35182672.242683,33959422.851282,27167538.281026,False
297,2021-10-17,11705653358.398388,0.003000,0.980000,0.200000,0.000000,1,35116960.075195,34414620.873691,27531696.698953,False
298,2021-10-22,11684019538.729704,0.003000,0.964815,0.200000,0.000000,1,35052058.616189,33818745.442657,27054996.354125,False
299,2021-10-27,11343887069.673500,0.003000,0.971389,0.200000,0.000000,1,34031661.209021,33057977.568874,26446382.055099,False
300,2021-11-01,11323054368.200472,0.003000,0.982639,0.200000,0.000000,1,33969163.104601,33379420.689591,26703536.551673,False
301,2021-11-06,11302106993.169046,0.003000,0.971713,0.200000,0.000000,1,33906320.979507,32947211.622170,26357769.297736,False
302,2021-11-11,11280717436.923376,0.003000,0.981620,0.200000,0.000000,1,33842152.310770,33220146.085429,26576116.868343,False
303,2021-11-16,11259657628.761196,0.003000,0.969815,0.200000,0.000000,1,33778972.886284,32759348.334346,26207478.667477,False
304,2021-11-21,11238469926.202349,0.003000,0.976620,0.200000,0.000000,1,33715409.778607,32927155.985172,26341724.788138,False
305,2021-11-26,11217568742.767164,0.003000,0.973380,0.200000,0.000000,1,33652706.228301,32756858.724539,26205486.979631,False
306,2021-12-01,11196633067.737696,0.003000,0.978750,0.200000,0.000000,1,33589899.203213,32876113.845145,26300891.076116,False
307,2021-12-06,11175759253.425611,0.003000,0.968056,0.200000,0.000000,1,33527277.760277,32456267.498490,25965013.998792,False
308,2021-12-11,11154816240.369337,0.003000,0.973750,0.200000,0.000000,1,33464448.721108,32586006.942179,26068805.553743,False
309,2021-12-16,11134121506.196268,0.003000,0.963148,0.200000,0.000000,1,33402364.518589,32171425.529848,25737140.423879,False
310,2021-12-21,11113347476.573099,0.003000,0.974306,0.200000,0.000000,1,33340042.429719,32483388.561733,25986710.849387,False
311,2021-12-26,11092893736.994629,0.003000,0.976389,0.200000,0.000000,1,33278681.210984,32492934.571280,25994347.657024,False
